,Unnamed: 0,video_title
170,170,아일릿이 말아주는 '뉴진스 - 어텐션' ㅋㅋ
171,171,'뉴진스는 못 끼는' 하이브 친목?
172,172,뉴진스 콜라보 아티스트 논란
175,175,NewJeans Attention Lyrics (뉴진스 Attention 가사) (Color Coded Lyrics)
176,176,뉴진스 최애
177,177,황당함 주의;;; 하이브가 뉴진스 데뷔 전 예상했던 뉴진스 성적
178,178,뉴진스 Super Shy 뮤비에 이런게있었다고..?!?
179,179,"데뷔부터 3월까지 뉴진스 멤버 인기순위 From our debut until now, who is the member of NewJeans? (22.8~24.3)(브랜드평판#민희진"
180,180,NewJeans(뉴진스) - New Jeans @인기가요 inkigayo 20230716
181,181,NewJeans 'Cool With You' Lyrics (뉴진스 Cool With You 가사) (Color Coded Lyrics)
182,182,하이브 떠난 민희진에게 벌어질 일들
183,183,콩쥐의 돌변? 뉴진스 갑자기 이러네?ㅋㅋ
184,184,난리난 뉴진스 OMG 뮤비 댓글창... 사실일까 음모론일까
185,185,이쯤에서 다시보는 뉴진스의 시작 Attention
188,188,방시혁이 뉴진스 다니엘을 데뷔조에서 제외시키려고 했던 이유
189,189,[사건영상] 뉴진스-아일릿 비교 영상 얼마나 똑같길래? / 채널A
190,190,"""맛있는 거 보내줄까""...뉴진스 MV 감독, 민희진과 나눈 대화 공개 [지금이뉴스] / YTN"
191,191,'160억vs1500억' 뉴진스와 아일릿 데뷔 차별
192,192,아일릿이 말아주는 '뉴진스 - 어텐션' ㅋㅋ
193,193,이제서야 이해된다는 과거 뉴진스 행동들 ㄷㄷㄷ 소름주의
194,194,하이브 아니고 어도어라고 말하는 민지 혜인
197,197,NewJeans (뉴진스) 'Ditto' Official MV (side A)
198,198,두 귀를 의심하게 하는 아일릿 1위 앵콜 라이브 #shorts
199,199,민희진 나가면 뉴진스 1년반 쉬어
200,200,'뇌절vs이해간다' 뉴진스 부모님의 지적
201,201,아일릿이 또? 뉴진스 안무가들이 화난 이유
202,202,시술 의심 받았던 '뉴진스 혜인'
205,205,Side B - 절망편 | 하이브 단월드 관계설로 해석한 Ditto 뮤비 해석 | NewJeans (뉴진스) - Ditto [가사/해석/lyrics]
206,206,"방시혁의 뉴진스 홀대? ""모른 척하고 인사 외면""…""말도 안 되는 주장""｜지금 이 뉴스"
207,207,손절 당하는 중? 심각해보이는 아일릿 상황
208,208,알고 보니 각별한 사이라는 BTS 뷔와 민희진?
209,209,"[#유퀴즈온더블럭] ""고통을 이겨냈더니 극!락!왕!생!"" 전 세계 불교계의 러브콜 받으며 제2의 전성기 맞이한 뉴진스님✨"
210,210,Hype 'V'oy with #BTS #V 🧸#NewJeans #뉴진스 #NewJeans_HypeBoy#Time_to_NewJeans
211,211,New Jeans - 뉴진스(NewJeans) [뮤직뱅크/Music Bank] | KBS 230714 방송
212,212,"뉴진스(NewJeans), 상큼하고 발랄한 무대 ＜Tell Me(원더걸스)♬＞ #SBS가요대전 #SBSenter"
213,213,뒤늦게 터진 뉴진스 표절 의혹.. ㄷㄷ (feat.아일릿)
214,214,이제서야 이해된다는 과거 뉴진스 행동들 ㄷㄷㄷ 소름주의
215,215,뉴진스 멤버 어머니 고백 4가지 총정리
216,216,'뉴진스'와 멕시코 걸그룹 '진스'
219,219,#playlist | 그냥 뉴진스가 좋아서요
220,220,NewJeans (뉴진스) 'Attention' Official MV (Performance ver.)
221,221,NewJeans(뉴진스) - Cookie @인기가요 inkigayo 20220807
222,222,아일릿 데뷔날 뉴진스 혜인이 올린 사진의 의미 ㄷㄷ
223,223,또 뉴진스 생각난다는 '아일릿 후속곡' 컨셉
224,224,금쪽민지의 마지막 헬륨!!! #Hanni #ハニ #NewJeans
225,225,뉴진스 부모님들이 직접 나섰다
228,228,[NewJeans - Attention] Hot Debut Stage | #엠카운트다운 EP.764 | Mnet 220804 방송
229,229,NewJeans (뉴진스) 'Right Now' Official MV Teaser
230,230,[뉴진스] 타격감 좋은 하니 놀리기는 못참지
231,231,'160억vs1500억' 뉴진스와 아일릿 데뷔 차별
232,232,"하이브에서 돌연 활동 종료했던 여자친구, 뉴진스는 어떻게 될까?"
233,233,뉴진스 막내 혜인이 초6 시절
236,236,"뉴진스가 'Magnetic'을 커버한다면? (원곡: 아일릿, AI 커버)"
237,237,뉴진스 vs 아일릿 안무가 얼마나 똑같길래?? #shorts
238,238,[4K] NewJeans (뉴진스) Attention (어텐션) 교차편집 (Stage Mix)
239,239,방시혁이 무시한(?) 뉴진스 인사
240,240,[제49회 한국방송대상 시상식] 축하공연 - 뉴진스 Attention [제 49회 한국방송대상] | KBS 220905 방송
241,241,대퓨님 인스타에 올라온 뉴진스 #Hanni #ハニ #NewJeans
242,242,NewJeans (뉴진스) 'New Jeans' (교차편집 Stage Mix)
243,243,[단독샷캠4K] 뉴진스 'Ditto' 단독샷 별도녹화│NewJeans ONE TAKE STAGE @SBS Inkigayo 230115
244,244,[LIVE] 뉴진스님(NewJeansNim) - 극락왕생 | 두시탈출 컬투쇼
245,245,Super Shy - NewJeans 뉴진스 [Music Bank] | #SuperShy #NewJeans
246,246,민희진에게 선물을 보낸 뉴진스 ‘하니’ 부모님!?
247,247,𝐄 𝐓 𝐀 #NewJeans #뉴진스#NewJeans_ETA #NewJeans_is_Everywhere
248,248,결국 뉴진스도 봐버린 짤들
251,251,NewJeans 'Super Shy' Lyrics (뉴진스 Super Shy 가사) (Color Coded Lyrics)
252,252,NewJeans (뉴진스) 'Hype Boy' Dance Practice
253,253,NewJeans Attention Lyrics (뉴진스 Attention 가사) (Color Coded Lyrics)
254,254,'뇌절vs이해간다' 뉴진스 부모님의 지적
255,255,뉴진스 새로운 멤버 발표😳!!!포닝
256,256,충격적이라는 뉴진스 부모님 메일 내용 요약
257,257,'컨셉 유출?' 뉴진스 스타일리스트 협박한 하이브
260,260,OMG - 뉴진스(NewJeans) [뮤직뱅크/Music Bank] | KBS 230127 방송
261,261,"법원에 탄원서 낸 뉴진스 멤버들‥""민 대표 해임 안 돼"" (2024.05.18/뉴스데스크/MBC)"
262,262,[뉴진스] 하찮게 웃는 하니도 귀여운
263,263,뉴진스 조롱한 것 같다는 아일릿 영상 #shorts
264,264,불난 뉴진스 상황에 부채질할 뻔한 세븐틴 멤버 #shorts
265,265,[뉴진스] 모든 타이틀곡에서 후렴 센터를 맡은 멤버 #해린 #shorts
268,268,뉴진스 코카콜라 새로운 CF #Hanni #ハニ #NewJeans
269,269,NewJeans (뉴진스) 'Hype Boy' Official MV (HYEIN ver.)
270,270,NewJeans(뉴진스) - OMG @인기가요 inkigayo 20230115
271,271,이것까지 따라했다고?!ㄷㄷ 참다참다 폭발한 뉴진스 안무가 인스타 저격글
272,272,NewJeans(뉴진스) - OMG @인기가요 inkigayo 20230129
273,273,[예고] 뉴진스(New Jeans) - Cool with you [코리아 온 스테이지 - 뉴제너레이션] | KBS 방송
274,274,뉴진스 역대 발매곡 슈퍼리믹스 (Full Ver.)
275,275,뉴진스 인사도 안받아주는 방시혁 의장님
276,276,결국 뉴진스도 봐버린 짤들
277,277,뉴진스 팬싸인회 논란
278,278,160억 뉴진스 VS 1500억 아일릿
281,281,[#코리아온스테이지] 뉴진스 티저 | KBS 240521 방송
282,282,파워퍼프걸로 변신한 뉴진스 🎀 𝙉𝙚𝙬𝙅𝙚𝙖𝙣𝙨 - 𝙉𝙚𝙬 𝙅𝙚𝙖𝙣𝙨 [한글 가사/해석]
283,283,[릴레이댄스] NewJeans(뉴진스) - Attention (4K)
284,284,뉴진스 새로운 멤버 발표😳!!!포닝
285,285,'뇌절vs이해간다' 뉴진스 부모님의 지적
286,286,뉴진스 민희진 관계가 불안한 이유
287,287,방시혁의 특이한 '안면인식' ㅋㅋ
290,290,"미 시상식 진행자 뉴진스 때문에 당황, 진행 중단 (feat. 빌보드 위민 인 뮤직), 장난 아니네"
291,291,뉴진스가 베꼈다는 멕시코 걸그룹 '진스'
292,292,혜인 시그니처 포즈를 따라한 아일릿 안무?
293,293,이제보면 ㅈㄴ의미심장하다는 르세라핌 뉴진스 첫만남 장면 ㄷㄷ
294,294,불난 뉴진스 상황에 부채질할 뻔한 세븐틴 멤버 #shorts
295,295,"민희진이 숨겨놓은 또 다른 계정, 반지연?"
298,298,"[현장영상] ""예정대로 뉴진스 뮤직비디오 공개 되나요?"" 질문에… / 채널A"
